Time Period Benchmark Comparison,Header,Date,BM1,BM1Return,Consolidated,ConsolidatedReturn
Time Period Benchmark Comparison,Data,04/07/21,VT,-0.150768921,Consolidated,-0.259591272
Time Period Benchmark Comparison,Data,04/08/21,VT,0.634185625,Consolidated,0.323433526
Time Period Benchmark Comparison,Data,04/09/21,VT,0.370111033,Consolidated,0.379637345
Time Period Benchmark Comparison,Data,04/12/21,VT,-0.209288419,Consolidated,-0.580870754
Time Period Benchmark Comparison,Data,04/13/21,VT,0.379506641,Consolidated,0.233735808
Time Period Benchmark Comparison,Data,04/14/21,VT,-0.039797035,Consolidated,-0.159153489
Time Period Benchmark Comparison,Data,04/15/21,VT,0.965462327,Consolidated,-0.044997608
Time Period Benchmark Comparison,Data,04/16/21,VT,0.384463722,Consolidated,0.283123017
Time Period Benchmark Comparison,Data,04/19/21,VT,-0.451733281,Consolidated,-0.634129194
Time Period Benchmark Comparison,Data,04/20/21,VT,-1.124593075,Consolidated,-0.299991297
Time Period Benchmark Comparison,Data,04/21/21,VT,1.017659383,Consolidated,1.075372052
Time Period Benchmark Comparison,Data,04/22/21,VT,-0.632098765,Consolidated,-0.631643568
Time Period Benchmark Comparison,Data,04/23/21,VT,1.162906272,Consolidated,0.914703448
Time Period Benchmark Comparison,Data,04/26/21,VT,0.29475339,Consolidated,0.431037378
Time Period Benchmark Comparison,Data,04/27/21,VT,-0.107758621,Consolidated,-0.001815879
Time Period Benchmark Comparison,Data,04/28/21,VT,0.186329313,Consolidated,-0.105748546
Time Period Benchmark Comparison,Data,04/29/21,VT,0.22513704,Consolidated,0.290320076
Time Period Benchmark Comparison,Data,04/30/21,VT,-1.054790507,Consolidated,-0.635617104
Time Period Benchmark Comparison,Data,05/03/21,VT,0.463922614,Consolidated,-0.157522899
Time Period Benchmark Comparison,Data,05/04/21,VT,-0.972686186,Consolidated,-0.782157469
Time Period Benchmark Comparison,Data,05/05/21,VT,0.446472864,Consolidated,-0.013137734
